record_id,metric_type,user_id,device_id,event_time_utc,end_time_utc,numeric_value,unit,sleep_stage,source_last_modified_utc,ingestion_time_utc
8c1da395-ad18-4b6c-bed3-2f6aa018d917,sleep_session,usr_demo_001,ring_demo_001,2026-07-01T22:13:46Z,2026-07-02T04:26:46Z,373.0,minutes,,2026-07-01T22:14:01Z,2026-07-15T20:07:46Z
4a019c19-4555-46ab-b76e-8a315dfc48b7,sleep_stage,usr_demo_001,ring_demo_001,2026-07-01T22:13:46Z,2026-07-01T23:27:46Z,74.0,minutes,DEEP,2026-07-01T22:14:01Z,2026-07-15T20:07:46Z
61d1a07e-f023-4f96-9789-8a1cec746fa0,blood_oxygen,usr_demo_001,ring_demo_001,2026-07-01T22:13:46Z,,96.38,percent,,2026-07-01T22:14:01Z,2026-07-15T20:07:46Z
827eeaf2-0faf-4d81-871c-ce3fc4935758,skin_temperature,usr_demo_001,ring_demo_001,2026-07-01T22:13:46Z,,33.38,celsius,,2026-07-01T22:14:01Z,2026-07-15T20:07:46Z
e05c2ec4-6341-41ee-bc74-f37b50f10a2d,blood_oxygen,usr_demo_001,ring_demo_001,2026-07-01T22:42:27Z,,97.16,percent,,2026-07-01T22:42:42Z,2026-07-15T20:07:46Z
a82c508a-0f71-4e26-ba9e-d7735fb5e7c6,skin_temperature,usr_demo_001,ring_demo_001,2026-07-01T22:42:27Z,,33.02,celsius,,2026-07-01T22:42:42Z,2026-07-15T20:07:46Z
5fbb6acc-f756-41de-8efe-7039841a1775,blood_oxygen,usr_demo_001,ring_demo_001,2026-07-01T23:11:09Z,,98.8,percent,,2026-07-01T23:11:24Z,2026-07-15T20:07:46Z
989bb0f5-3622-4228-a763-70754b2dc9da,skin_temperature,usr_demo_001,ring_demo_001,2026-07-01T23:11:09Z,,34.06,celsius,,2026-07-01T23:11:24Z,2026-07-15T20:07:46Z
c36983fb-5241-4f59-933d-345f26f4de21,sleep_stage,usr_demo_001,ring_demo_001,2026-07-01T23:27:46Z,2026-07-02T02:48:46Z,201.0,minutes,LIGHT,2026-07-01T23:28:01Z,2026-07-15T20:07:46Z
ecc16d43-b68c-46e7-b232-5c6d68706351,blood_oxygen,usr_demo_001,ring_demo_001,2026-07-01T23:39:50Z,,97.41,percent,,2026-07-01T23:40:05Z,2026-07-15T20:07:46Z
a3d86629-5349-4da6-bba8-66fa062affef,skin_temperature,usr_demo_001,ring_demo_001,2026-07-01T23:39:50Z,,33.83,celsius,,2026-07-01T23:40:05Z,2026-07-15T20:07:46Z
be6fede4-ad02-4bd4-b3a7-d282f8b9c35c,heart_rate,usr_demo_001,ring_demo_001,2026-07-02T00:00:00Z,,83.97,bpm,,2026-07-02T00:00:15Z,2026-07-15T20:07:46Z
0ce7b67f-b4eb-4fd9-a243-cd5562058972,blood_oxygen,usr_demo_001,ring_demo_001,2026-07-02T00:08:32Z,,95.11,percent,,2026-07-02T00:08:47Z,2026-07-15T20:07:46Z
0974895b-72ad-429b-90aa-0c33843344d0,skin_temperature,usr_demo_001,ring_demo_001,2026-07-02T00:08:32Z,,33.92,celsius,,2026-07-02T00:08:47Z,2026-07-15T20:07:46Z
28d685db-004a-40e3-be97-60bae95e8ed7,heart_rate,usr_demo_001,ring_demo_001,2026-07-02T00:30:00Z,,67.17,bpm,,2026-07-02T00:30:15Z,2026-07-15T20:07:46Z
f50f2717-7c42-4e05-9f72-50201e7c9a51,blood_oxygen,usr_demo_001,ring_demo_001,2026-07-02T00:37:13Z,,97.09,percent,,2026-07-02T00:37:28Z,2026-07-15T20:07:46Z
93e9bf1c-8a64-4461-8b64-b7b26b11af47,skin_temperature,usr_demo_001,ring_demo_001,2026-07-02T00:37:13Z,,33.6,celsius,,2026-07-02T00:37:28Z,2026-07-15T20:07:46Z
7e67975d-16f3-4dda-829c-511c493547a6,heart_rate,usr_demo_001,ring_demo_001,2026-07-02T01:00:00Z,,63.43,bpm,,2026-07-02T01:00:15Z,2026-07-15T20:07:46Z
f7cbec5a-425f-4677-8c1a-4f3429251b75,blood_oxygen,usr_demo_001,ring_demo_001,2026-07-02T01:05:55Z,,95.72,percent,,2026-07-02T01:06:10Z,2026-07-15T20:07:46Z
9b61a589-c74e-498b-996e-69e540097479,skin_temperature,usr_demo_001,ring_demo_001,2026-07-02T01:05:55Z,,33.45,celsius,,2026-07-02T01:06:10Z,2026-07-15T20:07:46Z
02a438eb-1af6-4f31-88d9-da99105886df,heart_rate,usr_demo_001,ring_demo_001,2026-07-02T01:30:00Z,,79.67,bpm,,2026-07-02T01:30:15Z,2026-07-15T20:07:46Z
bf378730-1581-4727-a15b-b428642c834b,blood_oxygen,usr_demo_001,ring_demo_001,2026-07-02T01:34:37Z,,97.41,percent,,2026-07-02T01:34:52Z,2026-07-15T20:07:46Z
